ID,Band_Name,Country,Band_Status,Band_Formation,Band_Genre,Band_Theme,Band_Active_Status
7724,Eye of Odin,United Kingdom,Split-up,1999,Pop,Vikings| W.A.R. (White Aryan Resistance),1999-?
7725,Eyecult,Sweden,Active,2004,Dance,Satanism| Occult philosophy,2004-present
7726,Eyes in the Void,Austria,Active,2012,Pop,N/A,2012-present
7727,Eyes like Cyanide,United States,Active,2006,Alternative,N/A,2006-present
7728,Eyes of the Night,Canada,Active,2011,Alternative,N/A,2011-present
7729,Eyes Turn Black,Germany,Active,2007,Adult Alternative,N/A,2007-present
7730,F.A.I.T.H.,Ukraine,Active,2002,Pop,N/A,2002-present
7731,Faal,Netherlands,Active,2005,Rock,Depression| Life,2005-present
7732,Facada,Brazil,Active,2003,Alternative,Society| Life,2003-present
7733,Face of Chaos,Finland,Active,2008,Pop,N/A,2008-present
7734,Face Rot,United States,Active,2012,Pop,N/A,2012-present
7735,Face the Fact,Italy,Active,1998,Rock,N/A,1998-present
7736,Face Yourself,Slovakia,Active,2008,Alternative,Inner struggles| war| society| emotions,2008-present
7737,FaceFuck,Australia,Active,2012,Pop,Gore| Porn,2012-present
7738,Facegrinder,Australia,Active,2011,Pop,Mental Exploration| Theories,2011-present
7739,Faceless Mutilation,United Kingdom,Unknown,2006,Rock,N/A,2006-?
7740,Facing the Swarm Thought,Germany,Active,2007,Pop,Post Modernity Urbanity,2000-2007 (as Storm)| 2007-present
7741,Facteur Zéro,France,Split-up,1997,Alternative,N/A,1997-?
7742,Faded Embrace,United States,Unknown,2005,Alternative,N/A,2005-?
7743,Faded Hopes,Greece,Split-up,2005,Alternative,Dark| Melancholy,2005-2006
7744,Fading Sun,Belarus,Split-up,2010,Pop,Destruction| Genocide| Eschatology,2010-?
7745,Faeces,Poland,Active,2001,Alternative,N/A,2001-present
7746,Fafnir,Brazil,Active,2010,Pop,N/A,2010-present
7747,Faith in Ashes,United States,Active,2005,Alternative,N/A,2005-present
7748,Falchion,Finland,Split-up,2002,Rock,Fantasy,2002-2009
7749,Fall of the Divine,Australia,Changed name,2012,Alternative,N/A,2012-2015| 2015-present (as Parametres)
7750,Fall to Oblivion,United Kingdom,Split-up,2010,Pop,Emotions| Society,2010-2011
7751,Fall to Prey,United States,Active,2004,Alternative,N/A,2004-present
7752,Fallacy,Portugal,Active,1994,Alternative,Aggression| Anger,1994-present
7753,Fallen,United Kingdom,Changed name,2004,Pop,Nihilism,2004-2006| 2006-present (as Sorrowfall)
7754,Fallen Crowned,Germany,Split-up,2008,Alternative,N/A,2008-2012
7755,Fallen Fate,United Kingdom,Active,2005,Alternative,N/A,2005-present
7756,Fallen Legion,Canada,Active,2008,Alternative,N/A,2007-2008 (as Menzrea)| 2008 (as Entropy)| 2008-present
7757,Fallen Martyr,United States,Active,2005,Rock,True Will| Paths to Personal Enlightenment,2005-present
7758,Fallen Paradise,Portugal,Active,2010,Rock,Motivation| Desperation| Apocalyptic,2010-present
7759,Fallen Temple,Germany,Active,2005,Alternative,N/A,2005-present
7760,Falling Cycle,United States,Split-up,1999,Rock,Christianity,1999-?
7761,Falling Leaves,Jordan,Active,2009,Alternative,N/A,2009-present
7762,Falling Sickness,Greece,Split-up,N/A,Pop,N/A,N/A
7763,False Reality,Romania,Active,1998,Alternative,Death| Nature| Love| Sadness,1998-2003| 2011-present
7764,Faltomy,Finland,Split-up,1991,Adult Alternative,N/A,1991-?
7765,Fangorn,Germany,Active,1994,Alternative,N/A,1994-present
7766,Far Beyond Existence,Germany,Split-up,2005,Alternative,N/A,2005-2009
7767,Far from Sanity,United States,Active,2000,Alternative,Christianity,2000-2004| 2010-present
7768,Far West Battlefront,Australia,Active,2007,Alternative,Personal| Social issues,2007-present
7769,Farasu,Malaysia,Active,2002,Dance,N/A,2002-present
7770,Farewell to Arms,Germany,Split-up,2007,Alternative,N/A,2007-2014
7771,Fashion Time,Ukraine,Unknown,1999,Alternative,N/A,1999-?
7772,Fatal Cause,United States,Split-up,1989,Alternative,N/A,1989-1995
7773,Fatal Cure,Finland,Active,2006,Alternative,N/A,2006-present
7774,Fatal Fear,Korea| South,Active,2003,Alternative,Socio-spiritual philosophy| Zombies| Illumination,2003-present
7775,Fate of Pyre,Germany,Split-up,2004,Alternative,N/A,2004-2006 (as The Annihilation)| 2006-2011
7776,Fate Shall Spurn,Germany,Active,2006,Alternative,N/A,2006-present
7777,FateScorn,Russia,Active,2009,Alternative,N/A,2007-2008 (as Enverseath)| 2008-2009 (as Tanatomic)| 2009 (as Artificial Intelligence)| 2009-present
7778,Father,Indonesia,Unknown,N/A,Alternative,N/A,N/A
7779,Fathom,United States,Changed name,2001,Alternative,Fantasy| Horror,2001-2008| 2008-present (as Faethom)
7780,Faust Again,Poland,Split-up,2000,Alternative,Death| Emotions| Life,2000-2013
7781,Faust in Memory,United States,Active,N/A,Alternative,N/A,N/A
7782,Faxed Head,United States,Unknown,1991,Alternative,Coalinga High School antics,1991-?
7783,Fear My Solitude,Sweden,Split-up,1991,Alternative,Solitude| Sadness| Melancholy,1991-2003
7784,Fear of Domination,Finland,Active,2006,Alternative,Sex| Perversions| Hardness of life,2006-present
7785,Fear of Drowning,United States,Split-up,2008,Alternative,N/A,2008-?
7786,Fear Remains,Netherlands,Split-up,2006,Alternative,N/A,2006-?
7787,Fear the Deceased,United Kingdom,Split-up,2007,Alternative,N/A,2007-?
7788,Fear the Future,Sweden,Split-up,2002,Alternative,Darkness,2002-2008
7789,Fear Verona,United States,Active,2006,Alternative,N/A,2006-present
7790,Feast for the Crows,Germany,Unknown,2006,Alternative,Personal & Philosophical themes,2006-?
7791,Feastem,Finland,Active,2005,Alternative,Society| Politics| Hatred| Zombies| Alcohol,2005-present
7792,Fecal Addiction,Costa Rica,Active,2006,Alternative,Religion| Society| Comedy| Fiction,2006-present
7793,Fecalized Rectal Sperm Spewage,United States,Active,2007,Alternative,Gore| Porn,2007-present
7794,Fecalizer,Mexico,Active,2003,Alternative,Gore| Zombies| Cannibalism,2003-present
7795,Feculence,United States,Split-up,1994,Alternative,Humanity| Sarcasm (early)| Perversion| Apocalypse,1994-?
7796,Feculent Abscess,United States,Active,2008,Alternative,Gore| Porn| Death| Sex,2008-present
7797,Feculent Goretomb,Brazil,Active,1998,Alternative,Gore| Splatter,1998-2004| 2008-present
7798,Feldgrau,United States,Split-up,2004,Rock,Iron Will| War| Supremacy,2001-2004 (as Terror Organ)| 2004-?
7799,Felix Olschewski,Germany,Active,N/A,Alternative,N/A,N/A
7800,Fenguerous,France,Active,2001,Alternative,War| Decline| Suffering,2001-2010
7801,Fenris,United States,Active,2013,Alternative,Tolkien| Fantasy,2013-present
7802,Fenrisulfr,United States,Active,2003,Alternative,Mythology| Luciferianism| Anti-Christianity,2003-present
7803,Feretro,Mexico,On hold,1995,Alternative,Darkness| Death,1995-2000| 2014-present
7804,Feretrum,Peru,Active,2004,Alternative,Deprivation| Death| Necrophilia| War,2004-present
7805,Feretrum,Spain,Split-up,1989,Alternative,Horror| darkness; gore (later),1989-1995
7806,Fermentia,United States,Split-up,2008,Alternative,N/A,2008-2011
7807,Ferocity,Germany,Split-up,1994,Rock,N/A,1994-?
7808,Ferroconcrete,Germany,Active,2013,Rock,N/A,2013-present
7809,Festercyst,United States,On hold,2002,Rock,Gore| Pornography,2002-2006
7810,Festerfuck,United States,Split-up,2008,Rock,Gore| Silliness| Humour,2008-2014
7811,Festering Drippage,Australia,Active,2010,Rock,Gore| Rape| Sick Humour| Perversity,2010-present
7812,Festering Puke,United States,Split-up,1991,Rock,Offensive Matters| Misanthropy,1991-2008
7813,Festering Utopia,Australia,Active,2005,Rock,Gore| Sickness| Perversions,2005-2008| 2008-2012 (as Lymphatic Secretion)| 2012-present
7814,Festinate,United States,Changed name,2007,Rock,N/A,2007-?
7815,Fetal Butchery,United States,Active,2005,Rock,Gore,2005-present
7816,Fetus Christ,Germany,Split-up,1999,Rock,Gore| Death,1999-2009
7817,Fetus Heist,United States,Unknown,2008,Rock,N/A,2008-?
7818,Feylamia,Poland,Active,2001,Alternative,Satanism,2001-?| 2015-present
7819,Fidelity,Israel,Split-up,2006,Rock,Insanity| Religion,2006-?
7820,Fieberwahn,Italy,Active,2009,Alternative,Death| Pain| Madness,2009-present
7821,Fields of Elysium,United States,Active,2003,Rock,Worms| Imps| Abstract Gore Themes,2003-present
7822,Fiend,United States,Active,2012,Alternative,Brutality| Anti-poser| Hatred| Nihilism,2012-present
7823,Fifth Column,United States,Split-up,2006,Rock,N/A,2006-?
7824,Fight Ones Corner,Germany,Active,2009,Rock,N/A,2009-present
7825,Fight Till Death,United States,Active,2013,Rock,Violence| Hatred| Death| Satan| Killing,2013-present
7826,Figure of Six,Italy,Active,2003,Rock,N/A,2003-present
7827,File of Ghosts,Finland,Changed name,N/A,Rock,N/A,?-2011| 2011-present (as Ofghost)
7828,Fin'amor,United States,Active,2008,Alternative,N/A,2008-present
7829,Final Faith,Germany,Active,2005,Rock,N/A,2005-present
7830,Final Fall,Finland,Split-up,1999,Rock,Death| Depression| Darkness| Religion,1999-?
7831,Final Resistance,Poland,Active,2011,Rock,N/A,2011-present
7832,Final Sacrifice,Poland,Active,2007,Rock,N/A,2007-present
7833,Final Words of Sorrow,Greece,Active,2011,Rock,Depression| Pessimism,2011-present
7834,Fireblade,United Kingdom,Active,2002,Rock,N/A,2002-present
7835,FireHaze,Cuba,Active,2009,Rock,N/A,2009-present
7836,FireHead,Ukraine,Active,2007,Alternative,Chaos| social problems| inner struggles,2007-2009
7837,Fires of Gomorrah,United States,Split-up,2009,Alternative,N/A,2009-2013
7838,Fission,Sweden,Active,2002,Alternative,Society| Chaos,2002-present
7839,Fistaface,United States,Active,1999,Alternative,N/A,1999-present
7840,Fistfuck,Canada,Active,2003,Alternative,N/A,2003-2008| 2009-present
7841,Five Minutes Hate,Italy,Active,2004,Alternative,N/A,2004-present
7842,FlameDrop,Hungary,Active,2009,Alternative,N/A,2009-present
7843,Flaming Wrekage,Australia,Active,2009,Alternative,N/A,2009-present
7844,Flammenwerfer M.16.,Germany,Active,2016,Alternative,Misanthropy| Vegitarianism,2016-present
7845,Flatline,United States,Active,2001,Alternative,N/A,2001-present
7846,Flatulation,France,Split-up,1999,Alternative,Flatulence| Faeces| Humour| Gore,1999-?
7847,Flaying,Latvia,Active,2001,Alternative,Serial killers| gore,2001-present
7848,Flesh Eater,Germany,Active,N/A,Alternative,N/A,N/A
7849,Flesh for Shredder,Spain,Active,N/A,Alternative,N/A,N/A
7850,Flesh Juicer,Taiwan,Active,2006,Rock,Local culture| Personal issues| Anti-NWO,2006-present
7851,Flesh Warfare,United States,Active,2010,Alternative,N/A,2010-present
7852,Fleshart,Greece,Split-up,1999,Dance,N/A,1999-2003
7853,Fleshgod Apocalypse,Italy,Active,2007,Pop,Anti-theism| Struggles of man| Mythology,2007-present
7854,Fleshgrind,United States,Split-up,1993,Alternative,Death| Gore| Rape| Brutality,1993-2005
7855,Fleshripper,Germany,Split-up,1996,Dance,Gore| Perversion| Sickness| Violence,1996-2012
7856,FleshTorture,Nicaragua,Active,2005,Alternative adulte,Sexual Torture| Sickness| Death,2004-2005 (as Necrocoprohaemorrhage)| 2005-present
7857,Flexant,Belgium,Active,2008,Alternative,N/A,2008-present
7858,Flourishing,United States,Split-up,2009,Alternative,N/A,2009-?
7859,Foeticide,Slovakia,Active,2006,Dance,Gore| Porn| Mutilation| Pathology| Diseases,2006-present
7860,Folkyria,Canada,Active,2012,Films de concerts,War| Myth| Nature,2012-present
7861,Followbane,Japan,Unknown,2003,Bande originale,Darkness| Sadness| Sorrow| Solitude| Despair| Anger,2003-?
7862,Followed by Silence,United States,Split-up,N/A,Alternative,N/A,N/A
7863,Following the Shade,Italy,Active,2005,Alternative,N/A,2005-present
7864,Fonops,Slovakia,Split-up,2000,Dance,Esoteric| Internal Struggles,2000-?
7865,Fool the World,Australia,Active,2001,Alternative,Greek Mythology,2001-present
7866,For a Dozen Matters,Greece,Active,2009,Rock,N/A,2009-2011 (as Doesnmatter)| 2011-2012 (as A Dozen Matters)| 2012-present
7867,For I Am King,Netherlands,Active,2013,Alternative,N/A,2013-present
7868,For Ruin,Ireland,Active,2003,Pop,Tales,2003-present
7869,For Today,United States,Split-up,2005,Pop,Christianity| Love,2005-2016
7870,For Your Sins,United Kingdom,Split-up,2005,Pop,N/A,2005-?
7871,Force Fed Broken Glass,United States,Unknown,2007,Alternative,Gore,2007-?
7872,Force Fed Human Shit,United Kingdom,Unknown,2009,Alternative,Gore| Violence| Perversion| Scat| Porn| Sex| Death,2009-?
7873,Force of Genocide,United States,Split-up,2005,Films de concerts,Battles| Glory| War| Victory,2005-2011
7874,Forced Asphyxia,United Kingdom,Active,2003,Alternative,Violence| Hate| Power,2003-present
7875,Forced In,Greece,Active,2011,Alternative,N/A,2011-present
7876,Forced Religion,United States,Active,1989,Alternative,Necromancy| Ethereal Darkness,1989-1994| 2014-present
7877,Forcunia,Germany,Split-up,2011,Alternative,Violent collapse of a fictional| metaphorical kingdom,2011-?
7878,Foreboding Ether,United Kingdom,Active,2007,Alternative,N/A,2007-present
7879,Forensick,Spain,Split-up,2001,Alternative,Gore| Terror| Aggressive Histories,2001-?
7880,Forest of Shadows,Sweden,Active,1997,Alternative,Death| Sorrow| Loss| Nature,1997-present
7881,Forest Shouts Back,Germany,Active,2013,Alternative,N/A,2013-present
7882,Forever and a Day,Australia,Split-up,N/A,Alternative,N/A,N/A
7883,Forever Ends Tonight,Austria,Split-up,2003,Dance,Frustration| Pain| Psychological Strain,2003-2009
7884,Forever Her Nightmare,United States,Split-up,2009,Alternative,N/A,2009-2012
7885,Forever in Terror,United States,Active,2006,Pop,Death| Suffering,?-2003 (as Theorm)| 2003-2006 (as Seventh Plague)| 2006-present
7886,Forever It Shall Be,Germany,Active,2005,Alternative,N/A,? (as Don't)| 2005-present
7887,Forever Lost,United States,Split-up,2002,Alternative,Winter,2002-?
7888,Forever Stillborn,Germany,Split-up,2006,Dance,N/A,2006-?
7889,Forever Tormented,United States,Active,2003,Alternative,War| Lust| Nature,2003-?| 2011-present
7890,Forever Will Burn,South Africa,Split-up,2006,Rock,Armageddon| Inner struggles,?-2006 (as Toyland)| 2006-2008
7891,Forever Winter,Germany,Split-up,1999,Pop,N/A,1999-?
7892,Forget the Past,Hungary,Unknown,2004,Pop,Hatred| Anger| Violence,2004-?
7893,Forgotten,Turkey,Active,1995,Alternative,Epic Tales,1995-present
7894,Forgotten Daylight,Russia,Active,2000,Pop,Fantasy| Inner struggles,2000-present
7895,Forgotten Souls,Poland,Active,1998,Dance,N/A,1998-present
7896,Forgotten Tears,Italy,Active,2005,Alternative,Sadness,2005-present
7897,Forlorn Path,United States,Active,2008,Dance,Nature| Sorrow| Loss| Death| Consumerism,2008-present
7898,Forlorn Suffering,Australia,Split-up,1999,Rock,N/A,1999-?
7899,Forlorn Voice,Germany,Active,2010,Alternative,N/A,2010-present
7900,Formless Creation,United States,Split-up,2010,Pop,Dark Fantasy| Existence,2010
7901,Formless Reflection,Ukraine,Active,2009,Rock,N/A,2009-present
7902,Formosus,Poland,Split-up,2007,Pop,N/A,2007-2013
7903,Fornicator,United States,Active,1999,Rock,Torture| Murder| Rape| Perversion| Sick fantasy,1999-present
7904,Forostar,Canada,Active,2012,Alternative,N/A,2012-present
7905,Forporgent,Germany,On hold,2006,Alternative,N/A,2006-present
7906,Forsake the Fallen,United States,Active,2011,Rock,N/A,2011-present
7907,Forsaken,Germany,Split-up,2007,Rock,N/A,2007-?
7908,Forsaken Lore,Austria,Active,1999,Alternative,N/A,1999-present
7909,Forsaken World,France,Active,2010,Alternative,Darkness| Death,2010-present
7910,Fortaleza,Argentina,Split-up,2004,Bande originale,Hell| Metal,2004-2012
7911,Forthright Scream,Hungary,Changed name,2008,Alternative,N/A,2008-2011| 2012-present (as Healinfect)
7912,Fortress of Victory,United States,Active,N/A,Alternative adulte,N/A,N/A
7913,Fortuna,Iceland,Split-up,2002,Dance,Fantasy,2002-2007
7914,Foul Circle,Finland,Active,2007,Pop,N/A,2007-present
7915,Fountain of Bile,United States,Active,N/A,Alternative,N/A,N/A
7916,Four Angels Four Winds,United States,Active,N/A,Alternative,N/A,N/A
7917,Four Face of Disgrace,Mexico,Active,2012,Alternative,N/A,2012-present
7918,Fractal,Venezuela,Active,2013,Pop,N/A,2013-present
7919,Fractal Dawn,Germany,Split-up,2002,Alternative,N/A,2002-?
7920,Fractal Reality,Costa Rica,Active,N/A,Alternative adulte,N/A,N/A
7921,Fractal Universe,France,Active,2013,Alternative,Philosophy| Psychology,2013-present
7922,Fracture,United Kingdom,Split-up,N/A,Pop,N/A,N/A
7923,Fracture Point,United States,Split-up,2002,Alternative adulte,Inner struggles,2002-2012
7924,Fractured Spine,Finland,Active,2008,Dance,Despair| Bitterness| Hopelessness| Loss,2008-present
7925,Frail Embrace,Germany,Split-up,2006,Pop,N/A,2006-2009
7926,Frail from Inside,Finland,Split-up,1998,Pop,N/A,1998-2006
7927,Frater,Argentina,Active,2008,Alternative,N/A,2008-present
7928,Free Ride,Croatia,Active,2011,Dance,N/A,2011-present
7929,Frequency of Butterfly Wings,Iran,Active,2009,Pop,Inner struggles,2009-present
7930,Freund Hein,Austria,Split-up,1997,Alternative,N/A,1994-1997 (as Craving for Valusia)| 1997-?
7931,From Below,Norway,Active,2013,Alternative,N/A,2013-present
7932,From Flesh,Canada,Active,N/A,Pop,N/A,N/A
7933,From My Hands,Germany,Active,2003,Pop,N/A,2003-present
7934,From the Shores,Italy,Active,2008,Dance,Pain| Death,2008-present
7935,From the Throne,United States,Active,N/A,Rock,Movies,N/A
7936,From the Vomit,United States,Active,2007,Pop,Death| Violence,2007-present
7937,From This Day,United States,Active,N/A,Pop,Christianity,N/A
7938,From This We Rise,United States,Split-up,2007,Pop,N/A,2007-2012
7939,Front,Finland,Active,2015,Pop,Luciferianism| War| Conquest| Death,2015-present
7940,Frosttide,Finland,Active,2009,Alternative,Battle| Fantasy,2009-present
7941,Frozen in Frost,Spain,Active,2007,Dance,N/A,2007-present
7942,Fuck Your Shadow from Behind,Germany,Split-up,2007,Bande originale,Abstract| Social Issues,2007-2010
7943,Fuckhammer,Ireland,Active,2011,Alternative,N/A,2011-present
7944,Fuel of Hate,Austria,Active,2008,Alternative,N/A,2008-present
7945,Fuelblooded,Netherlands,Active,2002,Alternative,N/A,1989-2002 (as Sacramental Sachem)| 2002-present
7946,Fuera,South Africa,Active,2014,Alternative,Apocalypse| Space| Science| Sci-fi| Climate Change| Evolution| Perception,2014-present
7947,Fulcrum,Poland,Split-up,2005,Alternative,N/A,2005-2010
7948,Funeral God,South Africa,Split-up,1998,Alternative,Hate| Darkness| Wrath,1998-?
7949,Funerary Pit,Australia,Active,2006,Dance,Damnation| Torture,2006-present
7950,Funereum,Italy,Split-up,1994,Alternative,N/A,1994-2003
7951,Furia,France,Split-up,1997,Alternative,Philosophy| Religion| Darkness| Symbolism,1997-?
7952,Furtherial,Turkey,Active,2012,Alternative,N/A,2007-2009 (as Extinction)| 2012-present
7953,Fury Never Fades,United States,Active,2009,Alternative,N/A,2009-present
7954,FuryBorn,United Kingdom,Active,2010,Alternative,N/A,2010-present
7955,Fusillid,United States,Split-up,2006,Alternative,N/A,2006-?
7956,Future Indefinite,Israel,Split-up,2008,Pop,Philosophical| Time| Freedom| Depression,2008-2015
7957,Fuurlen Kourpuultii,United States,Active,2007,Alternative,Humour| Feces,2007-present
7958,G-Clad,Australia,Active,2004,Alternative,Anti-American| Racism| Humour| Gore,2004-present
7959,G-Hud,Poland,Active,2001,Alternative,N/A,2001-present
7960,G.O.D.,Sweden,Split-up,1997,Alternative,Death| Sorrow| Evil| Hate| Darkness,1997-?
7961,G.P.I.,United Kingdom,Split-up,2003,Alternative,N/A,2003-?
7962,G.T.I.,France,Split-up,2001,Alternative,N/A,2001-2008
7963,Gaia Fallen,Canada,Unknown,2004,Alternative,N/A,2004-?
7964,Gaius,United States,Unknown,2003,Alternative,N/A,2003-?
7965,Galadh,Australia,Active,2011,Alternative,N/A,2011-present
7966,Gallery of Darkness,Germany,Split-up,1997,Alternative,N/A,1997-2002
7967,Gamohra,United States,Active,2012,Alternative,N/A,2012-present
7968,Gandalf,Finland,Split-up,1993,Alternative,N/A,1993-2002| 2013
7969,Garbage Can,Canada,Active,2014,Alternative,N/A,2014-present
7970,Garden of Grief,Colombia,Active,1997,Alternative,Sadness| Despair,1997-present
7971,Garden of Shadows,United States,Split-up,1996,Alternative,Mythology| Philosophy| Astronomy,1995-1996 (as Funeral Opera)| 1996-2002
7972,Garden of Turbulence,United States,Active,2006,Rock,N/A,2003-2006 (as Of Evil Creation)| 2006-present
7973,Gardeniathan,Sweden,Active,2007,Alternative,N/A,2007-present
7974,Gardens of Gehenna,Germany,Split-up,1995,Alternative,Hell| Nightmares| Depths of the Human Soul,1995-2007
7975,Gargantula,United States,Active,2003,Pop,N/A,1993-2003 (as Spaceboy)| 2003-present
7976,Garrisoned,United States,Split-up,2005,Alternative,Battles| Strength,2005-?
7977,Garstig,Germany,On hold,2003,Pop,Despair| Frustration| Life| Filth,2003-2008| 2012-present
7978,Garuda,United States,Active,2000,Alternative,Social issues,2000-present
7979,Gastljus,Sweden,Split-up,2010,Alternative,Scandinavian folklore and mythology,2010-2013
7980,Gastric Haemorrhage,Serbia,Active,2005,Alternative,Vomit| Gore| Porn| Violence and Fecal Fantasies,2005-present
7981,Gastrick Burst,France,Split-up,2001,Alternative,Humor,2001-?
7982,Gate of Darkness,Hungary,Split-up,2000,Alternative,N/A,?| 2000-? (as Gate From Darkness)
7983,Gate of Sorrow,Czech Republic,Active,2006,Alternative,N/A,1997-2006 (as Gate)| 2006-present
7984,Gates of Aaru,South Africa,Active,2013,Alternative,N/A,2013-present
7985,Gates of Affliction,United States,On hold,2007,Alternative,Anger| Personal Struggle,2007-?
7986,Gates of Hell,Portugal,Active,2008,Alternative,N/A,2008-present
7987,Gates of Hopeless,Japan,Unknown,2004,Pop,N/A,2004-?
7988,Gathering of Obscurity,Germany,Split-up,1996,Alternative,N/A,? (as Fear of Dark)| 1996-?
7989,GATT,Indonesia,Active,2007,Alternative,Social Politics,2007-present
7990,Gauntlet,Germany,Active,2004,Rock,N/A,2004-present
7991,Gayang Kulintangan Revolt,Malaysia,Active,N/A,Rock,N/A,N/A
7992,Gears,Macedonia (FYROM),Active,2011,Rock,N/A,2011-present
7993,Geist of Trinity,Japan,Active,2007,Rock,N/A,2007-present
7994,Geistkrieg,United States,Unknown,N/A,Rock,Christianity,N/A
7995,Gelidus Nox,Sweden,Split-up,2005,Rock,N/A,2005-?
7996,Gelo,Italy,Active,2008,Soundtrack,Armageddon| Nuclear Holocaust| Depression,2008-present
7997,General Bomb Machine,Austria,Split-up,1990,Alternative,N/A,1990-2001
7998,Genetic Threat,Czech Republic,Split-up,1997,Rock,N/A,1997-?
7999,Genital Torture,Philippines,Changed name,2008,Rock,Porn| Gore,2008-?| ?-present (as Necro Pradesh)
8000,Gennotype,Spain,Active,2013,Rock,N/A,2013-present
8001,Genocidal,Australia,Active,2008,Alternative,Socio-political Issues| Personal Struggles| Psychological Issues,2008-present
8002,Geoda,Argentina,Active,2012,Rock,Environmental| Social| Personal,2012-present
8003,Gerbe of Life,France,Split-up,1997,Rock,Social criticism,1997-?
8004,Geryon,United States,Split-up,2006,Dance,Metal| Darkness| Battle,2006-2010
8005,Geryon,United States,Active,N/A,Rock,N/A,N/A
8006,Ghamorean,Sweden,Split-up,1997,Rock,The fall of man| Rebellion| Perseverance,1997-2013
8007,Ghastly Secret,United States,Active,1993,Alternative,Old-school Horror,1993-present
8008,Ghora Natha,Belgium,Split-up,2001,Rock,Blood| Coldness,2001-?
8009,Ghost Cries,Japan,Active,2008,Dance,N/A,2008-present
8010,Ghost of Mendea,United States,Active,1999,Rock,Darkness| Sadness| Hate,1999-present
8011,Ghost Voyage,Finland,Active,2008,Alternative,Melancholy| Depression| Loss| Sorrow,2008-present
8012,Gian,Finland,Active,2005,Rock,N/A,2005-present
8013,Giant Deathsnake,United States,Active,N/A,Rock,N/A,N/A
8014,Gift of Madness,Russia,Active,2003,Dance,N/A,2003-present
8015,Gift of Tongues,United States,Split-up,2005,Alternative,Free Will| Hope| Despair,2005-?
8016,Gigan,United States,Active,2006,Alternative,Diabolical monsters,2006-present
8017,Give Zombies the Vote,United States,Active,N/A,Dance,N/A,N/A
8018,Glacial Fear,Italy,Active,1992,Alternative,N/A,1991-1992 (as Desecration)| 1992-present
8019,Gladenfold,Finland,Active,2003,Rock,Fantasy| Tales,2003 (as Rotta)| 2003-present
8020,Glass Inferno,Italy,Split-up,N/A,Alternative,N/A,?-2010
8021,Glavio,France,Active,2006,Rock,Gore| Klling| Torture| Pain,2006-present
8022,Gloomlurker,United Kingdom,Split-up,2012,Dance,Death| Curses| Strength| Power,2012-2013
8023,Gloria Morti,Finland,Active,1999,Alternative,Anti-Religion| Death| Occultism,1999-present
8024,Glorious Death,United States,Active,2004,Dance,N/A,2004-present
8025,Glory in Vengeance,United States,Split-up,2002,Rock,Retribution| Murder| Suicide| Love,2002-2003
8026,Gnadab,Netherlands,Active,2008,Rock,N/A,2008-present
8027,Gnargoyles,United States,Active,2010,Rock,Sex| Humor,2010-present
8028,Gnida,Poland,Active,2010,Alternative,Vomit| Feces| Weed,2010-present
8029,Gnostic,United States,Active,2005,Rock,N/A,2005-present
8030,Gnuuutt 77,Italy,Active,2006,Alternative,N/A,2006-present
8031,Goat Cult,Czech Republic,Active,2015,Alternative,N/A,2015-present
8032,Goat Phallus,Greece,Active,2006,Rock,Satan| Sex| Metal Attitude,2006-present
8033,Goat Tyrant,Poland,Active,2000,Alternative,Satan| Darkness| Evil,2000-present
8034,Goat Vomit,Belgium,Active,2008,Pop,Life| Metal| War,2008-present
8035,Goatdusias,United States,Active,2012,Alternative,Sex| Blasphemy| Rituals| Goats| Occult| Satanism,2012-present
8036,Goatlord,United States,Split-up,1985,Alternative,Blasphemies| Profane Rites| Cults,1985-1997| 2014-2015
8037,Goatlusting Chaos,Malaysia,Active,2011,Alternative,Satan| Blasphemy| War,2011-present
8038,Goats Rising,Germany,Active,2009,Alternative,N/A,2009-present
8039,Goatwhore,United States,Active,1997,Alternative,Satanism| Darkness| Anti-religion| Armageddon,1997-present
8040,Goblet,United States,Active,2013,Alternative,N/A,2013-present
8041,God Eat God,International,Active,2012,Alternative,N/A,2012-present
8042,God in Ruins,Poland,Active,2000,Alternative,N/A,1996-1998 (as Incarnatus)| 1998-2000 (as Gorenhaatad)| 2000-present
8043,God Made Filth,Brazil,Active,2003,Rock,Rape| Torture| Gore| Anti-Christianity,2003-present
8044,God of Emptiness,Korea| South,Unknown,2003,Alternative,N/A,2003-?
8045,God Shaped Devil,United Kingdom,Active,2014,Alternative,N/A,2014-present
8046,God-Mechanic,Ukraine,Split-up,2007,Pop,N/A,2007-?
8047,God.Fear.None,Greece,Active,2003,Alternative,N/A,2003-present
8048,Godcilioration,Germany,Split-up,2006,Alternative,N/A,2006-?
8049,Godcomplex,Germany,Active,2009,Alternative,N/A,2009-present
8050,Goddess of Fate,Indonesia,Active,2007,Alternative,Human civilization,2007-present
8051,Godforsaken,Austria,Changed name,2006,Alternative,N/A,2006-2010| 2010-present (as Ghouls Come Knockin')
8052,Godless,Germany,Split-up,N/A,Alternative,N/A,N/A
8053,Godless Crusade,Italy,Split-up,2006,Alternative,N/A,? (as Unbreath)| 2006-2009
8054,Godless Truth,United Kingdom,Changed name,1991,Alternative,Death| Suicide| Grief| Hope,1990-1991 (as Perpetual Infestation)| 1991-1996| 2007-present (as Austerymn)
8055,Godly Beings,Netherlands,Split-up,1994,Pop,Splatter,1994-?
